"rectype","issueid","project_owner","project_name","actor","time","text","action","title"
"issue_title","409","pycqa","astroid","asottile","2017-02-28 21:37:56","","start issue","No longer install tox / pip twice in travis"
"issue_closed","409","pycqa","astroid","PCManticore","2017-03-01 09:18:54","","closed issue","No longer install tox / pip twice in travis"
"pull_request_title","409","pycqa","astroid","asottile","2017-02-28 21:37:56","","ac9b9cdd92b465c324824f07312d5ca0ca470956","No longer install tox / pip twice in travis"
"pull_request_merged","409","pycqa","astroid","PCManticore","2017-03-01 09:18:54","No longer install tox / pip twice in travis","5f10041b49506129e3daefc285a0308491e1ed21","Pull request merge from asottile/astroid:patch-1 to PyCQA/astroid:master"
"issue_comment","409","pycqa","astroid","asottile","2017-02-28 21:38:45","Seems to be left over from this commit: https://github.com/PyCQA/astroid/commit/8ed837d828692db5b95b3e906bebeacbc68c256f","",""
"issue_comment","409","pycqa","astroid","PCManticore","2017-03-01 09:18:50","Thank you!","",""
"pull_request_commit","409","pycqa","astroid","asottile","2017-02-28 21:37:44","No longer install tox / pip twice in travis","ac9b9cdd92b465c324824f07312d5ca0ca470956",""
