"rectype","issueid","project_owner","project_name","actor","time","text","action","title"
"issue_title","56","aio-libs","aioredis","tailhook","2014-12-15 16:59:10","This test reproduces #54
","start issue","Add test on aioredis hang, when coroutine is canceled"
"issue_closed","56","aio-libs","aioredis","popravich","2014-12-16 07:59:37","","closed issue","Add test on aioredis hang, when coroutine is canceled"
"pull_request_title","56","aio-libs","aioredis","tailhook","2014-12-15 16:59:10","This test reproduces #54
","a64bfc5dfbc0f030dae2a209cead7c8ce0d0ea16","Add test on aioredis hang, when coroutine is canceled"
"pull_request_merged","56","aio-libs","aioredis","popravich","2014-12-16 07:59:37","Add test on aioredis hang, when coroutine is canceled","b3b69522e6d536850e1a9902d6f2234997a608a4","Pull request merge from tailhook/aioredis:cancel_hang to aio-libs/aioredis:master"
"pull_request_commit","56","aio-libs","aioredis","tailhook","2014-12-15 16:56:27","Add test on aioredis hang, when coroutine is canceled

This test reproduces #54","a64bfc5dfbc0f030dae2a209cead7c8ce0d0ea16",""
