"rectype","issueid","project_owner","project_name","actor","time","text","action","title"
"issue_title","433","nilearn","nilearn","lesteve","2015-02-16 13:12:30","For @banilo following this [comment](https://github.com/nilearn/nilearn/pull/426#discussion_r24662984).
","start issue","Move duplicated _compose_error_msg function somewhere in _utils"
"issue_closed","433","nilearn","nilearn","lesteve","2015-02-18 08:40:45","","closed issue","Move duplicated _compose_error_msg function somewhere in _utils"
