"rectype","issueid","project_owner","project_name","actor","time","text","action","title"
"issue_title","312","nilearn","nilearn","AlexandreAbraham","2014-12-12 15:10:59","In documentation, shell lines are prefixed by $. For example:

`$ pip install -U --user nibabel`

The meaning of it is not obvious for non developers, we should remove it.
","start issue","Misleading $ in shell lines in documentation"
"issue_closed","312","nilearn","nilearn","lesteve","2014-12-16 08:06:17","","closed issue","Misleading $ in shell lines in documentation"
