"rectype","issueid","project_owner","project_name","actor","time","text","action","title"
"issue_title","38","aio-libs","aioredis","jettify","2014-07-29 20:04:03","Please review.
","start issue","tests for scan, zrevrange,  zscore commands"
"issue_closed","38","aio-libs","aioredis","popravich","2014-07-31 07:32:22","","closed issue","tests for scan, zrevrange,  zscore commands"
"pull_request_title","38","aio-libs","aioredis","jettify","2014-07-29 20:04:03","Please review.
","5cc153f72cd0aa94e6425338fda8a4bdaa12edbb","tests for scan, zrevrange,  zscore commands"
"pull_request_merged","38","aio-libs","aioredis","popravich","2014-07-31 07:32:22","tests for scan, zrevrange,  zscore commands","c355b35ff673e38d905ffe99e87ac7dc5af6b086","Pull request merge from jettify/aioredis:feature-sorted-sets14 to aio-libs/aioredis:master"
"issue_comment","38","aio-libs","aioredis","jettify","2014-07-29 21:06:30","something wrong with scan test... I'll try to fix this tomorrow.
","",""
"issue_comment","38","aio-libs","aioredis","jettify","2014-07-30 20:06:58","fixed
","",""
"pull_request_commit","38","aio-libs","aioredis","jettify","2014-07-29 20:02:37","scan, zrevrange,  zscore commands","63f2de99ec1a55d4914ca3b607fb40edea011b35",""
"pull_request_commit","38","aio-libs","aioredis","jettify","2014-07-29 20:49:55","fix scan test","4714347dd3482fc37508cee664c25058056a6d0d",""
"pull_request_commit","38","aio-libs","aioredis","jettify","2014-07-30 20:02:35","fix scan command test","5cc153f72cd0aa94e6425338fda8a4bdaa12edbb",""
