project,period,commit_messages,pull_request_merged,issue_comment,commit_comments,issue_title,issue_closed,pull_request_title,pull_request_commit_comment,pull_request_commit
aio-libs~aioredis,20150316,1,0,0,0,0,0,0,0,0
aio-libs~aioredis,20150323,0,0,2,0,0,0,0,0,0
aio-libs~aioredis,20150325,2,0,0,0,0,0,0,0,1
aio-libs~aioredis,20150329,2,0,0,0,0,0,0,0,2
aio-libs~aioredis,20150330,1,0,0,0,1,0,0,0,1
aio-libs~aioredis,20150331,0,0,5,0,0,0,0,0,0
aio-libs~aioredis,20150403,0,0,3,0,1,0,0,0,0
aio-libs~aioredis,20150406,5,0,0,0,0,0,0,0,1
aio-libs~aioredis,20150408,0,0,11,0,0,0,1,4,2
aio-libs~aioredis,20150409,0,0,8,0,0,1,0,0,0
aio-libs~aioredis,20150415,1,0,0,0,0,0,0,0,0
aio-libs~aioredis,20150417,1,0,0,0,0,0,0,0,1
aio-libs~aioredis,20150420,2,0,0,0,0,0,0,0,2
aio-libs~aioredis,20150423,0,0,2,0,1,0,0,0,0
aio-libs~aioredis,20150428,0,0,2,0,0,0,0,0,0
aio-libs~aioredis,20150429,2,1,2,0,1,1,1,0,1
aio-libs~aioredis,20150430,1,0,2,0,1,0,1,0,1
aio-libs~aioredis,20150501,1,1,1,0,0,1,0,0,0
aio-libs~aioredis,20150514,2,0,2,0,1,0,1,0,2
aio-libs~aioredis,20150520,1,0,1,0,0,0,0,0,1
aio-libs~aioredis,20150522,1,0,2,0,0,0,0,0,1
aio-libs~aioredis,20150523,0,0,0,0,0,1,0,0,0
aio-libs~aioredis,20150524,1,0,0,0,0,0,0,0,1
aio-libs~aioredis,20150525,1,0,2,0,0,0,0,0,1
aio-libs~aioredis,20150602,4,0,4,0,0,0,0,0,4
aio-libs~aioredis,20150603,7,1,2,0,1,2,0,0,1
aio-libs~aioredis,20150604,0,0,1,0,0,0,0,0,0
aio-libs~aioredis,20150616,4,1,0,0,1,2,1,0,1
aio-libs~aioredis,20150702,0,0,0,0,1,0,0,0,0
aio-libs~aioredis,20150703,1,0,1,0,0,1,0,0,0
aio-libs~aioredis,20150706,3,1,1,0,2,1,1,0,0
aio-libs~aioredis,20150707,12,1,1,0,1,2,1,0,6
aio-libs~aioredis,20150718,0,0,1,0,0,0,0,0,0
aio-libs~aioredis,20150720,2,0,0,0,0,0,0,0,2
aio-libs~aioredis,20150721,0,0,2,0,0,0,0,0,0
aio-libs~aioredis,20150722,1,0,0,0,0,0,0,0,1
aio-libs~aioredis,20150723,0,0,0,0,1,0,0,0,0
aio-libs~aioredis,20150728,6,2,4,0,5,4,4,0,6
aio-libs~aioredis,20150729,0,0,3,0,0,1,0,0,1
aio-libs~aioredis,20150731,0,0,1,0,0,0,0,0,0
aio-libs~aioredis,20150803,3,1,1,0,2,1,2,0,1
aio-libs~aioredis,20150804,2,1,2,0,0,2,0,0,0
aio-libs~aioredis,20150805,0,0,1,0,0,0,0,0,0
aio-libs~aioredis,20150814,2,0,0,0,0,0,0,0,0
aio-libs~aioredis,20150817,0,0,0,0,0,1,0,0,0
aio-libs~aioredis,20150818,1,0,0,0,0,0,0,0,0
aio-libs~aioredis,20150820,1,0,0,0,0,0,0,0,0
aio-libs~aioredis,20150824,2,0,0,0,0,0,0,0,8
aio-libs~aioredis,20150825,3,0,2,0,1,1,1,0,12
aio-libs~aioredis,20150826,1,0,0,0,1,1,1,0,4
aio-libs~aioredis,20150911,1,0,0,0,0,0,0,0,0
aio-libs~aioredis,20150912,2,1,1,0,1,1,1,0,1
aio-libs~aioredis,20150913,1,0,0,0,0,0,0,0,2
aio-libs~aioredis,20150920,1,0,2,0,1,1,1,0,2
aio-libs~aioredis,20151002,1,0,0,0,0,0,0,0,0
aio-libs~aioredis,20151005,4,1,0,0,2,1,1,0,1
aio-libs~aioredis,20151009,5,2,2,0,2,3,2,0,3
aio-libs~aioredis,20151010,1,0,1,0,1,0,1,0,1
aio-libs~aioredis,20151012,1,1,4,0,1,1,0,0,0
aio-libs~aioredis,20151013,3,0,3,0,0,0,0,0,0
aio-libs~aioredis,20151015,0,0,0,0,0,1,0,0,0
aio-libs~aioredis,20151019,1,0,0,0,1,0,1,0,1
aio-libs~aioredis,20151020,3,1,5,0,0,1,0,0,1
aio-libs~aioredis,20151021,4,0,2,0,1,0,1,0,4
aio-libs~aioredis,20151022,2,1,0,0,0,1,0,0,1
aio-libs~aioredis,20151028,0,0,2,0,1,0,0,0,0
aio-libs~aioredis,20151029,7,2,6,3,3,3,2,0,4
aio-libs~aioredis,20151101,0,0,1,0,1,0,0,0,0
aio-libs~aioredis,20151104,0,0,7,0,2,0,0,0,0
aio-libs~aioredis,20151105,0,0,1,0,0,1,0,0,0
aio-libs~aioredis,20151109,1,0,0,0,0,0,0,0,1
aio-libs~aioredis,20151113,5,1,0,0,1,2,1,0,3
aio-libs~aioredis,20151115,0,0,1,0,0,0,0,0,0
aio-libs~aioredis,20151116,2,0,1,0,0,1,0,0,0
aio-libs~aioredis,20151118,3,0,1,0,0,1,0,0,0
aio-libs~aioredis,20151125,0,0,0,0,1,0,0,0,0
aio-libs~aioredis,20151126,2,0,4,0,0,1,0,0,0
aio-libs~aioredis,20151129,0,0,0,0,1,0,0,0,0
aio-libs~aioredis,20151130,0,0,2,0,0,0,0,0,0
aio-libs~aioredis,20151202,0,0,1,0,0,0,0,0,0
aio-libs~aioredis,20151203,0,0,3,0,0,0,0,0,0
aio-libs~aioredis,20151205,0,0,1,0,0,1,0,0,0
aio-libs~aioredis,20151206,0,0,1,0,1,1,0,0,0
aio-libs~aioredis,20151209,0,0,1,0,0,0,0,0,0
aio-libs~aioredis,20151212,0,0,0,0,1,0,0,0,0
aio-libs~aioredis,20151214,1,0,0,0,0,1,0,0,0
aio-libs~aioredis,20151224,0,0,4,0,0,0,0,0,0
aio-libs~aioredis,20151225,0,0,1,0,0,0,0,0,0
aio-libs~aioredis,20160103,2,0,0,0,0,0,0,0,0
aio-libs~aioredis,20160111,0,0,0,0,1,0,0,0,0
aio-libs~aioredis,20160112,0,0,1,0,0,0,0,0,0
aio-libs~aioredis,20160115,0,0,0,0,1,0,0,0,0
aio-libs~aioredis,20160118,0,0,1,0,0,0,0,0,0
aio-libs~aioredis,20160123,0,0,3,0,1,1,0,0,0
aio-libs~aioredis,20160124,3,1,1,0,1,1,1,0,1
aio-libs~aioredis,20160125,0,0,0,0,0,1,0,0,0
aio-libs~aioredis,20160202,2,1,1,0,1,1,1,0,1
aio-libs~aioredis,20160209,4,0,0,0,1,0,1,0,8
aio-libs~aioredis,20160210,2,0,3,0,0,0,0,6,3
aio-libs~aioredis,20160211,0,0,2,0,0,0,0,0,0
aio-libs~aioredis,20160224,0,0,0,0,0,0,0,0,1
aio-libs~aioredis,20160228,2,0,2,0,2,0,1,0,2
aio-libs~aioredis,20160229,4,0,0,0,0,0,0,0,4
aio-libs~aioredis,20160301,2,1,4,0,0,1,0,0,1
aio-libs~aioredis,20160302,5,0,1,0,0,0,0,0,0
aio-libs~aioredis,20160303,1,0,0,0,0,0,0,0,0
aio-libs~aioredis,20160304,4,1,3,0,2,1,1,0,3
aio-libs~aioredis,20160305,0,0,2,0,0,0,0,0,0
aio-libs~aioredis,20160307,0,0,2,0,0,0,0,0,1
aio-libs~aioredis,20160308,0,0,0,0,0,0,0,0,2
aio-libs~aioredis,20160309,0,0,4,0,1,0,0,0,0
aio-libs~aioredis,20160310,6,2,7,0,3,4,2,0,7
aio-libs~aioredis,20160311,2,0,1,0,0,0,0,0,0
aio-libs~aioredis,20160314,0,0,1,0,0,0,0,0,4
aio-libs~aioredis,20160315,0,0,0,0,0,0,0,0,2
aio-libs~aioredis,20160318,0,0,0,0,0,0,0,0,2
aio-libs~aioredis,20160321,0,0,0,0,0,0,0,0,2
aio-libs~aioredis,20160323,0,0,0,0,0,0,0,0,2
aio-libs~aioredis,20160324,2,0,5,0,1,0,1,0,3
aio-libs~aioredis,20160325,1,0,0,0,0,0,0,1,0
aio-libs~aioredis,20160328,8,2,4,0,1,2,1,0,2
aio-libs~aioredis,20160329,0,0,1,0,0,1,0,0,0
aio-libs~aioredis,20160330,4,0,0,0,0,0,0,0,0
aio-libs~aioredis,20160404,0,0,0,0,0,0,0,0,8
aio-libs~aioredis,20160405,4,1,6,0,2,2,2,0,8
aio-libs~aioredis,20160406,0,0,4,0,1,0,0,0,4
aio-libs~aioredis,20160411,0,0,0,0,1,0,0,0,0
aio-libs~aioredis,20160412,0,0,1,0,0,0,0,0,1
aio-libs~aioredis,20160413,0,0,6,0,0,0,0,0,7
aio-libs~aioredis,20160414,0,0,5,0,0,0,0,0,4
aio-libs~aioredis,20160502,0,0,1,0,0,0,0,0,1
aio-libs~aioredis,20160503,0,0,4,0,1,1,0,0,1
aio-libs~aioredis,20160513,0,0,3,0,3,1,1,0,1
aio-libs~aioredis,20160516,0,0,1,0,0,0,0,0,0
aio-libs~aioredis,20160518,1,0,0,0,0,0,0,0,1
aio-libs~aioredis,20160520,2,0,0,0,0,0,0,0,0
aio-libs~aioredis,20160523,4,0,1,0,0,0,0,0,0
aio-libs~aioredis,20160524,1,0,0,0,0,0,0,0,1
aio-libs~aioredis,20160525,0,0,7,0,1,0,1,0,5
aio-libs~aioredis,20160526,3,1,4,0,0,1,0,4,2
aio-libs~aioredis,20160527,3,0,0,0,0,0,0,0,0
aio-libs~aioredis,20160529,5,0,1,0,0,0,0,0,0
aio-libs~aioredis,20160530,1,0,1,0,1,0,0,9,0
aio-libs~aioredis,20160531,0,0,2,0,0,0,0,0,0
aio-libs~aioredis,20160602,1,0,1,0,0,2,0,0,1
aio-libs~aioredis,20160603,10,1,1,0,1,1,1,0,6
aio-libs~aioredis,20160606,8,0,0,0,1,0,1,0,3
aio-libs~aioredis,20160607,0,0,0,0,0,0,0,2,0
aio-libs~aioredis,20160609,1,0,0,0,0,0,0,0,1
aio-libs~aioredis,20160612,1,0,0,0,0,0,0,0,1
aio-libs~aioredis,20160617,2,0,0,0,0,0,0,0,2
aio-libs~aioredis,20160618,0,0,2,0,1,0,1,0,3
aio-libs~aioredis,20160619,0,0,1,0,0,0,0,0,1
aio-libs~aioredis,20160621,1,0,9,0,0,0,0,0,6
aio-libs~aioredis,20160622,3,0,12,0,0,0,0,5,9
aio-libs~aioredis,20160623,3,1,9,0,0,1,0,0,0
aio-libs~aioredis,20160624,1,0,3,0,0,1,0,0,0
aio-libs~aioredis,20160704,0,0,4,0,1,0,1,0,1
aio-libs~aioredis,20160705,4,1,2,0,1,2,1,0,3
aio-libs~aioredis,20160713,1,0,0,0,0,0,0,0,0
aio-libs~aioredis,20160715,1,0,0,0,0,0,0,0,1
aio-libs~aioredis,20160721,0,0,0,0,1,0,0,0,0
aio-libs~aioredis,20160722,3,0,2,0,0,1,0,0,0
aio-libs~aioredis,20160729,3,0,0,0,0,0,0,0,3
aio-libs~aioredis,20160730,1,0,0,0,1,0,0,0,1
aio-libs~aioredis,20160731,0,0,2,0,0,0,0,0,0
aio-libs~aioredis,20160801,1,0,2,0,0,0,0,0,1
aio-libs~aioredis,20160803,0,0,2,0,0,0,0,0,0
aio-libs~aioredis,20160810,0,0,0,0,1,0,0,0,0
aio-libs~aioredis,20160811,0,0,1,0,0,0,0,0,0
aio-libs~aioredis,20160814,1,0,0,0,1,0,1,0,1
aio-libs~aioredis,20160815,0,0,2,0,0,0,0,0,0
aio-libs~aioredis,20160816,0,0,1,0,0,0,0,0,0
aio-libs~aioredis,20160817,0,0,1,0,0,0,0,0,0
aio-libs~aioredis,20160818,0,0,1,0,0,0,0,0,0
aio-libs~aioredis,20160819,3,0,7,0,0,0,0,1,3
aio-libs~aioredis,20160820,0,0,0,0,1,0,0,0,0
aio-libs~aioredis,20160822,5,1,3,0,0,2,0,0,0
aio-libs~aioredis,20160825,4,0,0,0,0,0,0,0,0
aio-libs~aioredis,20160826,1,0,0,0,0,0,0,0,0
aio-libs~aioredis,20160902,1,0,0,0,0,0,0,0,0
aio-libs~aioredis,20160906,2,1,2,0,1,1,1,0,1
aio-libs~aioredis,20160913,0,0,1,0,1,0,0,0,0
aio-libs~aioredis,20160914,0,0,2,0,0,0,0,0,0
aio-libs~aioredis,20160919,0,0,1,0,0,0,0,0,0
aio-libs~aioredis,20160924,1,0,1,0,1,0,1,0,1
aio-libs~aioredis,20160925,1,1,2,0,1,1,1,0,3
aio-libs~aioredis,20160927,10,6,15,0,11,11,10,4,11
aio-libs~aioredis,20160928,1,0,0,0,0,0,0,0,0
aio-libs~aioredis,20160929,0,0,0,0,1,0,1,0,1
aio-libs~aioredis,20160930,1,1,5,0,1,2,0,0,0
aio-libs~aioredis,20161001,0,0,1,0,0,0,0,0,0
aio-libs~aioredis,20161003,0,0,2,0,0,0,0,0,0
aio-libs~aioredis,20161004,0,0,2,0,0,0,0,0,0
aio-libs~aioredis,20161005,0,0,3,0,0,2,0,0,0
aio-libs~aioredis,20161010,0,0,1,0,1,0,1,0,1
aio-libs~aioredis,20161013,1,1,0,0,0,1,0,0,0
aio-libs~aioredis,20161018,3,1,2,0,2,2,1,0,2
aio-libs~aioredis,20161021,0,0,1,0,1,1,0,0,0
aio-libs~aioredis,20161024,4,0,1,0,0,1,0,0,0
aio-libs~aioredis,20161029,0,0,1,0,0,0,0,0,0
aio-libs~aioredis,20161101,0,0,2,0,0,0,0,0,0
aio-libs~aioredis,20161102,1,0,0,0,0,0,0,0,1
aio-libs~aioredis,20161103,0,0,6,0,2,0,0,0,0
aio-libs~aioredis,20161104,0,0,7,0,0,0,0,0,0
aio-libs~aioredis,20161105,0,0,2,0,1,0,0,0,0
aio-libs~aioredis,20161106,0,0,4,0,0,0,0,0,0
aio-libs~aioredis,20161107,2,0,3,0,0,1,0,0,0
aio-libs~aioredis,20161111,0,0,0,0,1,0,1,0,1
aio-libs~aioredis,20161112,1,1,1,0,1,2,1,0,1
aio-libs~aioredis,20161114,1,0,4,0,4,2,3,0,4
aio-libs~aioredis,20161115,1,1,1,0,0,1,0,0,0
aio-libs~aioredis,20161116,1,0,0,0,0,0,0,0,1
aio-libs~aioredis,20161121,1,0,1,0,2,0,2,0,2
aio-libs~aioredis,20161122,1,1,0,0,0,1,0,0,0
aio-libs~aioredis,20161123,1,0,1,0,1,0,1,0,1
aio-libs~aioredis,20161126,1,1,0,0,0,1,0,0,0
aio-libs~aioredis,20161128,4,0,0,0,0,0,0,0,1
aio-libs~aioredis,20161130,1,1,3,0,1,3,0,0,0
aio-libs~aioredis,20161201,0,0,0,0,1,0,1,0,1
aio-libs~aioredis,20161202,4,1,5,0,1,2,1,0,3
aio-libs~aioredis,20161204,1,1,1,0,1,1,1,0,1
aio-libs~aioredis,20161205,1,1,0,0,1,1,1,0,1
aio-libs~aioredis,20161206,3,0,0,0,0,0,0,0,0
aio-libs~aioredis,20161216,3,0,0,0,0,0,0,0,3
