,rectype,issueid,project_owner,project_name,actor,time,text,action,title,provenance,paths,plus_1,urls,issues,userref,code,formatted_time
200,commit_messages,,aio-libs,aioredis,kxepal,2014-10-07 10:16:13,Multiredis travis,413dc393e44be74882d4e819cf0df8d28f1a8ff2,,"api.github.com,git_clone","[u'["".travis.yml""]']",False,[],[],[],[],2014-10-07
384,commit_messages,,aio-libs,aioredis,kxepal,2014-10-07 11:52:47,"Better Redis version detection for test suite

redis-server may not be available for the end users and actually is
required sudo to be executed. However, they have access to redis-cli
which ships with Redis and also provides version info, but in a bit
different format.",7c012b1aed37727db1f2ea9489aac59f7d79a989,,"api.github.com,git_clone","[u'["".travis.yml"", ""Makefile"", ""tests/_testutil.py""]']",False,[],[],[],[],2014-10-07
862,pull_request_commit,50.0,aio-libs,aioredis,kxepal,2014-10-07 10:16:13,Multiredis travis,413dc393e44be74882d4e819cf0df8d28f1a8ff2,,api.github.com,,False,[],[],[],[],2014-10-07
863,pull_request_commit,50.0,aio-libs,aioredis,kxepal,2014-10-07 11:52:47,"Better Redis version detection for test suite

redis-server may not be available for the end users and actually is
required sudo to be executed. However, they have access to redis-cli
which ships with Redis and also provides version info, but in a bit
different format.",7c012b1aed37727db1f2ea9489aac59f7d79a989,,api.github.com,,False,[],[],[],[],2014-10-07
