,rectype,issueid,project_owner,project_name,actor,time,text,action,title,provenance,paths,plus_1,urls,issues,userref,code,formatted_time
1,commit_messages,,aio-libs,aioredis,popravich,2016-06-03 09:32:19,few small doc fixes,018eedaf1990183a405d79af152875d851b4021e,,"api.github.com,git_clone","[u'[""docs/api_reference.rst""]']",False,[],[],[],[],2016-06-03
33,commit_messages,,aio-libs,aioredis,popravich,2016-06-03 08:44:52,docs updated,0da4f3cca09ce827db325f3dba4a6083e771645f,,"api.github.com,git_clone","[u'[""docs/api_reference.rst"", ""aioredis/pool.py""]']",False,[],[],[],[],2016-06-03
109,commit_messages,,aio-libs,aioredis,popravich,2016-06-03 08:58:24,doc/examples fixes,23f4013588c348eb2b9b640dbc741248e33e7d36,,"api.github.com,git_clone","[u'[""examples/pool_pubsub.py"", ""examples/pool.py"", ""examples/python_3.5_pool.py"", ""docs/start.rst""]']",False,[],[],[],[],2016-06-03
185,commit_messages,,aio-libs,aioredis,popravich,2016-06-03 10:35:12,test fixtures updated (server.tcp_address instead of server.port),3bceb2ad5b43d9920cce84373e0a6d6b3a2fab90,,"api.github.com,git_clone","[u'[""tests/pubsub_commands_test.py"", ""tests/pool_test.py"", ""tests/string_commands_test.py"", ""tests/task_cancellation_test.py"", ""tests/reconnect_test.py"", ""docs/devel.rst"", ""tests/py35_pubsub_commands_test.py"", ""tests/list_commands_test.py"", ""tests/ssl_test.py"", ""tests/scripting_commands_test.py"", ""tests/generic_commands_test.py"", ""tests/connection_commands_test.py"", ""tests/hash_commands_test.py"", ""tests/transaction_commands_test.py"", ""tests/connection_test.py"", ""tests/py35_pool_test.py"", ""tests/conftest.py"", ""tests/server_commands_test.py""]']",False,[],[],[],[],2016-06-03
219,commit_messages,,aio-libs,aioredis,popravich,2016-06-02 15:10:40,Implement close()/wait_closed()/closed interface for pool,44f782f039e38f0f89de41ddd71182d893bc1b21,,"api.github.com,git_clone","[u'[""tests/pool_test.py"", ""aioredis/pool.py"", ""tests/conftest.py"", ""aioredis/errors.py"", ""aioredis/__init__.py""]']",False,[],[],[],[],2016-06-02
333,commit_messages,,aio-libs,aioredis,popravich,2016-06-03 18:51:16,more test fixes,6932fc21ae5fd9a5ef8278561c5ffa027459f566,,"api.github.com,git_clone","[u'[""aioredis/commands/generic.py"", ""tests/pool_test.py"", ""tests/py35_pool_test.py""]']",False,[],[],[],[],2016-06-03
417,commit_messages,,aio-libs,aioredis,popravich,2016-06-03 09:11:52,"Merge pull request #128 from aio-libs/pool_close

Implement `close()`/`wait_closed()` interface for Pool",88d6160dee01a6ab137032c195d36821c8f46e2d,,"api.github.com,git_clone","[u'[""tests/pool_test.py"", ""aioredis/errors.py"", ""examples/pool_pubsub.py"", ""docs/api_reference.rst"", ""examples/python_3.5_pool.py"", ""aioredis/__init__.py"", ""examples/pool.py"", ""aioredis/pool.py"", ""tests/conftest.py"", ""docs/start.rst""]']",False,[],"[{u'raw': u'#128', u'refstyle': u'#d', u'parts': [u'aio-libs', u'aioredis', u'128', u'']}]",[],[],2016-06-03
502,commit_messages,,aio-libs,aioredis,popravich,2016-06-03 14:36:55,fixed few tests,a7a4d6c5167a4ee749417b48f41e898f3618d57e,,"api.github.com,git_clone","[u'[""tests/hash_commands_test.py"", ""tests/connection_test.py"", ""tests/string_commands_test.py""]']",False,[],[],[],[],2016-06-03
598,commit_messages,,aio-libs,aioredis,popravich,2016-06-03 14:36:42,get rid of connection usage in Redis,c6b5fe9870836ef5bc738ad54214b2b70bad6dba,,"api.github.com,git_clone","[u'[""aioredis/commands/generic.py"", ""aioredis/commands/hash.py"", ""aioredis/commands/__init__.py"", ""aioredis/commands/transaction.py"", ""aioredis/commands/string.py"", ""aioredis/commands/sorted_set.py"", ""aioredis/__init__.py"", ""aioredis/commands/hyperloglog.py"", ""aioredis/commands/scripting.py"", ""aioredis/pool.py"", ""aioredis/commands/cluster.py"", ""aioredis/commands/list.py"", ""aioredis/commands/server.py"", ""aioredis/commands/pubsub.py"", ""aioredis/commands/set.py""]']",False,[],[],[],[],2016-06-03
639,commit_messages,,aio-libs,aioredis,popravich,2016-06-03 10:03:19,RedisPool minsize/maxsize must not be None,d5b316f0f084c1b04fa8619d50536aed7ce06a7c,,"api.github.com,git_clone","[u'[""docs/api_reference.rst"", ""tests/pool_test.py"", ""aioredis/pool.py""]']",False,[],[],[],[],2016-06-03
