,rectype,issueid,project_owner,project_name,actor,time,text,action,title,provenance,paths,plus_1,urls,issues,userref,code,formatted_time
332,commit_messages,,pycqa,astroid,PCManticore,2016-08-22 07:58:38,Add brain tips for _io.TextIOWrapper's buffer and raw attributes.,2b30ab777278358f754c6e7e2d5f761f76274d17,,"api.github.com,git_clone","[u'[""astroid/tests/unittest_brain.py"", ""astroid/brain/brain_io.py"", ""ChangeLog""]']",False,[],[],[],[],2016-08-22
412,commit_messages,,pycqa,astroid,PCManticore,2016-08-24 19:46:48,"Use astroid_cache instead of MANAGER.builtins(), since that does not exist in this release.",34b23b7c3d307cc496a6daed6bac3625afdeabbc,,"api.github.com,git_clone","[u'[""astroid/interpreter/objectmodel.py""]']",False,[],[],[],[],2016-08-24
455,commit_messages,,pycqa,astroid,PCManticore,2016-08-24 08:02:01,Rename a couple of finders and document them.,39fdd0de8bca4264c7329aa3de947bbc99432a0d,,"api.github.com,git_clone","[u'[""astroid/interpreter/_import/spec.py""]']",False,[],[],[],[],2016-08-24
655,commit_messages,,pycqa,astroid,PCManticore,2016-08-24 19:44:39,Fix some pylint errors over the code base.,509764da75aa7edf9d45cb88d4a86d8a2386ed31,,"api.github.com,git_clone","[u'[""astroid/tests/unittest_modutils.py"", ""astroid/tests/unittest_brain.py"", ""astroid/bases.py"", ""astroid/interpreter/objectmodel.py"", ""astroid/tests/unittest_inference.py"", ""astroid/tests/unittest_object_model.py"", ""astroid/tests/unittest_raw_building.py"", ""astroid/tests/unittest_lookup.py"", ""astroid/interpreter/__init__.py"", ""astroid/raw_building.py"", ""astroid/scoped_nodes.py"", ""astroid/interpreter/_import/util.py"", ""astroid/tests/unittest_utils.py"", ""astroid/tests/__init__.py"", ""astroid/tests/unittest_builder.py"", ""astroid/tests/unittest_scoped_nodes.py"", ""astroid/tests/unittest_manager.py"", ""astroid/as_string.py"", ""astroid/inference.py""]']",False,[],[],[],[],2016-08-24
733,commit_messages,,pycqa,astroid,moylop260,2016-08-22 19:14:06,Export __version__ in __init__.,5a3b55258c3674a8f44c0bdc30c7516ceffd74eb,,"api.github.com,git_clone","[u'[""astroid/__init__.py"", ""astroid/__pkginfo__.py""]']",False,[],[],[],[],2016-08-22
869,commit_messages,,pycqa,astroid,PCManticore,2016-08-24 06:44:03,Add support for discovering .pth file created by certain namespace packages.,6b9a7ed82cef0b89edb00b19e991fe6ec5d057d5,,"api.github.com,git_clone","[u'[""astroid/tests/testdata/python2/data/foogle/fax/a.py"", ""astroid/tests/testdata/python3/data/foogle_fax-0.12.5-py2.7-nspkg.pth"", ""astroid/tests/testdata/python2/data/foogle/fax/__init__.py"", ""astroid/modutils.py"", ""astroid/tests/testdata/python2/data/foogle_fax-0.12.5-py2.7-nspkg.pth"", ""astroid/tests/testdata/python3/data/foogle/fax/__init__.py"", ""astroid/tests/unittest_manager.py"", ""astroid/tests/testdata/python3/data/foogle/fax/a.py""]']",False,[],[],[],[],2016-08-24
908,commit_messages,,pycqa,astroid,PCManticore,2016-08-24 08:17:42,Forgot to make _import a package.,6fa9aa43bb4d7687dd62232602b40b823f26fcbf,,"api.github.com,git_clone","[u'[""astroid/interpreter/_import/__init__.py""]']",False,[],[],[],[],2016-08-24
922,commit_messages,,pycqa,astroid,PCManticore,2016-08-24 07:48:04,"Move the spec finder under a new namespace, interpreter._import.",708e538b3ec2e6610b09d6f6b6183236a3c7c049,,"api.github.com,git_clone","[u'[""astroid/tests/unittest_modutils.py"", ""astroid/interpreter/_import/spec.py"", ""astroid/manager.py"", ""astroid/interpreter/_import/util.py"", ""astroid/modutils.py""]']",False,[],[],[],[],2016-08-24
1175,commit_messages,,pycqa,astroid,The-Compiler,2016-08-22 08:21:50,"Add pytest 3 compatibility in brain_pytest (#357)

This change adjusts brain_pytest for pytest 3, while also reintroducing pytest 2 compatibility.",8ec025fa36c9c627bcdd6da7fab56271731d47eb,,"api.github.com,git_clone","[u'[""astroid/tests/unittest_brain.py"", ""astroid/brain/brain_pytest.py""]']",False,[],"[{u'raw': u'#357', u'refstyle': u'#d', u'parts': [u'pycqa', u'astroid', u'357', u'']}]",[],[],2016-08-22
1727,commit_messages,,pycqa,astroid,PCManticore,2016-08-24 08:08:45,Add changelog entry for the explicit namespace package support.,d0fbbc462a8c3520a59cf72c694a1ed26c88eafb,,"api.github.com,git_clone","[u'[""ChangeLog""]']",False,[],[],[],[],2016-08-24
