,rectype,issueid,project_owner,project_name,actor,time,text,action,title,provenance,paths,plus_1,urls,issues,userref,code,formatted_time
172,commit_messages,,nilearn,nilearn,htygithub,2016-12-11 02:08:27,"correct a bug in nilearn.image.clean_img

In 0.2.6, when we pass a path to a 4D Nifti image to clean_img, we will get an error msg,
```
lib/python3.5/site-packages/nilearn/image/image.py"", line 861, in clean_img
    imgs_.get_data().reshape(-1, imgs.shape[-1]).T, sessions=sessions,
AttributeError: 'str' object has no attribute 'shape'
```
This commit corrects the problem.",06ea80d4c843ab521967d12105061a59f571454c,,"api.github.com,git_clone","[u'[""nilearn/image/image.py""]']",False,[],[],[],[],2016-12-11
675,commit_messages,,nilearn,nilearn,xgrg,2016-12-07 11:23:16,"Fixing the transparent colormaps

Green was blue and vice versa. This commit fixes it.",1c06fde31d73bb351850119a78c26e0db9e20c5a,,"api.github.com,git_clone","[u'[""nilearn/plotting/cm.py""]']",False,[],[],[],[],2016-12-07
1147,commit_messages,,nilearn,nilearn,GaelVaroquaux,2016-12-08 21:50:27,"Merge pull request #1338 from xgrg/patch-1

Fixing the transparent colormaps",2f6958a5826994ba925add2a75e4b3ec70e615c4,,"api.github.com,git_clone","[u'[""nilearn/plotting/cm.py""]']",False,[],"[{u'raw': u'#1338', u'refstyle': u'#d', u'parts': [u'nilearn', u'nilearn', u'1338', u'']}]",[],[],2016-12-08
1369,commit_messages,,nilearn,nilearn,alexsavio,2016-12-06 14:43:35,add fetcher for Allen 2011 RSN fMRI atlas,39548d0ef4c6097d4c71ade2a4eaac9d096b1ff8,,"api.github.com,git_clone","[u'[""doc/modules/reference.rst"", ""nilearn/datasets/description/allen_rsn_2011.rst"", ""nilearn/datasets/tests/test_atlas.py"", ""nilearn/datasets/__init__.py"", ""doc/whats_new.rst"", ""nilearn/datasets/atlas.py""]']",False,[],[],[],[],2016-12-06
2262,commit_messages,,nilearn,nilearn,ahoyosid,2016-12-09 17:18:39,changing check_cv,5e1a3d2e5de5d7a6d59cb6fb672aee0a0314cec9,,"api.github.com,git_clone","[u'[""nilearn/_utils/fixes/__init__.py"", ""nilearn/decoding/space_net.py"", ""nilearn/connectome/group_sparse_cov.py""]']",False,[],[],[],[],2016-12-09
2581,commit_messages,,nilearn,nilearn,ahoyosid,2016-12-11 08:32:30,changing comment,6ba5e4e2e5459c5eefaf626d38aaeacc716ae593,,"api.github.com,git_clone","[u'[""nilearn/_utils/fixes/__init__.py""]']",False,[],[],[],[],2016-12-11
2616,commit_messages,,nilearn,nilearn,GaelVaroquaux,2016-12-11 09:40:25,"Merge pull request #1344 from htygithub/master

correct a bug in nilearn.image.clean_img",6ce48c7566d5773a9f885404fbba5674ea51779f,,"api.github.com,git_clone","[u'[""nilearn/image/image.py""]']",False,[],"[{u'raw': u'#1344', u'refstyle': u'#d', u'parts': [u'nilearn', u'nilearn', u'1344', u'']}]",[],[],2016-12-11
3063,commit_messages,,nilearn,nilearn,alexsavio,2016-12-06 17:23:42,fix docstring indentation,7fefc940049ef60e5b38cdf1ceae07b9823b596f,,"api.github.com,git_clone","[u'[""nilearn/datasets/atlas.py""]']",False,[],[],[],[],2016-12-06
3174,commit_messages,,nilearn,nilearn,ahoyosid,2016-12-11 09:55:58,wrong comment,8485d14f8430faec9efa7574debcf285fe27011a,,"api.github.com,git_clone","[u'[""nilearn/_utils/fixes/__init__.py""]']",False,[],[],[],[],2016-12-11
3542,commit_messages,,nilearn,nilearn,GaelVaroquaux,2016-12-04 17:04:14,"Merge pull request #1330 from Titan-C/nogrep

Remove error grep on Sphinx build",948a00ea0dff48e8c04eb9d6335648a98809ef4b,,"api.github.com,git_clone","[u'[""circle.yml""]']",False,[],"[{u'raw': u'#1330', u'refstyle': u'#d', u'parts': [u'nilearn', u'nilearn', u'1330', u'']}]",[],[],2016-12-04
3901,commit_messages,,nilearn,nilearn,alexsavio,2016-12-07 10:06:51,fix docstring style for happy Sphinx,a327f5ba5fe6157666bdafc6cad654e2d3b9699b,,"api.github.com,git_clone","[u'[""nilearn/datasets/atlas.py""]']",False,[],[],[],[],2016-12-07
4214,commit_messages,,nilearn,nilearn,GaelVaroquaux,2016-12-09 08:33:04,"Merge pull request #1341 from GaelVaroquaux/fix_circle

FIX: adapt to Sphinx 1.5",af65120f09975647ac7ac63198eb3c3b31c10b6e,,"api.github.com,git_clone","[u'[""doc/conf.py""]']",False,[],"[{u'raw': u'#1341', u'refstyle': u'#d', u'parts': [u'nilearn', u'nilearn', u'1341', u'']}]",[],[],2016-12-09
4431,commit_messages,,nilearn,nilearn,GaelVaroquaux,2016-12-09 06:48:57,"Merge pull request #1340 from GaelVaroquaux/fix_circle

FIX: adapt to latest Circle",b7a0dc644868133d5db0f04911f763e3ad692389,,"api.github.com,git_clone","[u'[""doc/conf.py""]']",False,[],"[{u'raw': u'#1340', u'refstyle': u'#d', u'parts': [u'nilearn', u'nilearn', u'1340', u'']}]",[],[],2016-12-09
4685,commit_messages,,nilearn,nilearn,GaelVaroquaux,2016-12-08 22:24:52,"FIX: adapt to latest Circle

This is necessary to fix circleCI",c27d3ef6fb1bfc4b05584da40dcd154fc15e8566,,"api.github.com,git_clone","[u'[""doc/conf.py""]']",False,[],[],[],[],2016-12-08
5462,commit_messages,,nilearn,nilearn,GaelVaroquaux,2016-12-09 07:00:14,"FIX: adapt to Sphinx 1.5

Avoid warnings in Sphinx 1.5",e2a68d8d1c20749e32c88ef62b26df57131b7b99,,"api.github.com,git_clone","[u'[""doc/conf.py""]']",False,[],[],[],[],2016-12-09
5930,commit_messages,,nilearn,nilearn,ahoyosid,2016-12-09 17:29:53,removing wrong else,f60a2fe7bd8bece65dbcc64ace121610c83e188a,,"api.github.com,git_clone","[u'[""nilearn/_utils/fixes/__init__.py""]']",False,[],[],[],[],2016-12-09
9550,pull_request_commit,698.0,nilearn,nilearn,ahoyosid,2016-12-06 18:21:47,"Merge branch 'master' of github.com:ahoyosid/nilearn into decoder

Merging master",c2d052de264345ad869f222ab077b968a10a6b79,,api.github.com,,False,[],[],[],[],2016-12-06
11009,pull_request_commit,1335.0,nilearn,nilearn,alexsavio,2016-12-06 14:43:35,add fetcher for Allen 2011 RSN fMRI atlas,39548d0ef4c6097d4c71ade2a4eaac9d096b1ff8,,api.github.com,,False,[],[],[],[],2016-12-06
11010,pull_request_commit,1335.0,nilearn,nilearn,alexsavio,2016-12-06 17:23:42,fix docstring indentation,7fefc940049ef60e5b38cdf1ceae07b9823b596f,,api.github.com,,False,[],[],[],[],2016-12-06
11011,pull_request_commit,1335.0,nilearn,nilearn,alexsavio,2016-12-07 10:06:51,fix docstring style for happy Sphinx,a327f5ba5fe6157666bdafc6cad654e2d3b9699b,,api.github.com,,False,[],[],[],[],2016-12-07
11017,pull_request_commit,1336.0,nilearn,nilearn,ahoyosid,2016-12-05 16:28:47,changing init,fdd52db0cef9f847d79c921728012666342b7426,,api.github.com,,False,[],[],[],[],2016-12-05
11018,pull_request_commit,1336.0,nilearn,nilearn,ahoyosid,2016-12-05 16:29:15,adding files,77b94bc8810784eabf98742a6c18b7da36d41b95,,api.github.com,,False,[],[],[],[],2016-12-05
11019,pull_request_commit,1336.0,nilearn,nilearn,ahoyosid,2016-12-05 17:14:58,adding test,dd58e2cf9aec3c620c9807568beff3738830bc5d,,api.github.com,,False,[],[],[],[],2016-12-05
11020,pull_request_commit,1336.0,nilearn,nilearn,ahoyosid,2016-12-05 19:28:24,inproving test,cce8586b47da92170737a4866e33515b23751a02,,api.github.com,,False,[],[],[],[],2016-12-05
11021,pull_request_commit,1336.0,nilearn,nilearn,ahoyosid,2016-12-06 14:44:37,inproving doc,7ec1a83be2de8464927d67620c92050372198928,,api.github.com,,False,[],[],[],[],2016-12-06
11022,pull_request_commit,1336.0,nilearn,nilearn,ahoyosid,2016-12-06 15:32:12,updating example,4772d80b5c639e5622b786f48366a7c18008fb00,,api.github.com,,False,[],[],[],[],2016-12-06
11023,pull_request_commit,1336.0,nilearn,nilearn,ahoyosid,2016-12-06 18:19:17,minor,c9df8552e344f2d818f718de1a237264a4af3944,,api.github.com,,False,[],[],[],[],2016-12-06
11024,pull_request_commit,1336.0,nilearn,nilearn,ahoyosid,2016-12-06 18:20:35,minor,cfb7bccff4c3659bea2fd04a86f9ee2b0e3c40db,,api.github.com,,False,[],[],[],[],2016-12-06
11025,pull_request_commit,1336.0,nilearn,nilearn,ahoyosid,2016-12-06 18:39:50,changing dot max to np.max,98cfff0d73f574120bf1c45ececc8d42858b63b7,,api.github.com,,False,[],[],[],[],2016-12-06
11026,pull_request_commit,1336.0,nilearn,nilearn,ahoyosid,2016-12-06 19:25:44,not sure how to deal with max(axis) in former scipy versions,52e5da855f4ed5a62cfcce9206d37acecc51875f,,api.github.com,,False,[],[],[],[],2016-12-06
11027,pull_request_commit,1336.0,nilearn,nilearn,ahoyosid,2016-12-07 11:57:47,addressing Alex and Mehdi comments,daef446d167fe86468ed43007378d84d006bed3c,,api.github.com,,False,[],[],[],[],2016-12-07
11028,pull_request_commit,1336.0,nilearn,nilearn,ahoyosid,2016-12-08 14:42:44,addressing Bertrand's comments,68223cdb2a00729203d8b85dde268fd1c3f6b31d,,api.github.com,,False,[],[],[],[],2016-12-08
