,rectype,issueid,project_owner,project_name,actor,time,text,action,title,provenance,paths,plus_1,urls,issues,userref,code,formatted_time
62,commit_messages,,pycqa,astroid,hugovk,2017-10-12 09:03:50,Mark failing test as expected failure (#455),08db26f34395e2c52023a5d33139975ff47ba8af,,"api.github.com,git_clone","[u'[""astroid/tests/unittest_inference.py""]']",False,[],"[{u'raw': u'#455', u'refstyle': u'#d', u'parts': [u'pycqa', u'astroid', u'455', u'']}]",[],[],2017-10-12
163,commit_messages,,pycqa,astroid,PCManticore,2017-10-12 10:47:12,Fix the remaining lint errors,1602d9989ce74773bd5d7f2d0d76861eb210d227,,"api.github.com,git_clone","[u'[""astroid/util.py"", ""astroid/tests/unittest_manager.py""]']",False,[],[],[],[],2017-10-12
420,commit_messages,,pycqa,astroid,PCManticore,2017-10-12 09:47:20,__package__ is accessible in every module. Close PyCQA/pylint#1693,3592657a129019e1b88532da8efaf12a53835a91,,"api.github.com,git_clone","[u'[""astroid/scoped_nodes.py""]']",False,[],"[{u'raw': u'PyCQA/pylint#1693', u'refstyle': u'o/p#d', u'parts': [u'PyCQA', u'pylint', u'1693', u'']}]",[],[],2017-10-12
1007,commit_messages,,pycqa,astroid,PCManticore,2017-10-12 10:48:03,"Run the local tests, not the installed ones, and strip the local path for coveralls",7bfb5e83b162d2126c9929b6d863724176269b6d,,"api.github.com,git_clone","[u'[""tox.ini""]']",False,[],[],[],[],2017-10-12
1088,commit_messages,,pycqa,astroid,PCManticore,2017-10-12 10:31:29,Fix lint warnings,83697ea500e316742897635ea97389f8a7a0c694,,"api.github.com,git_clone","[u'[""astroid/tests/unittest_brain.py"", ""astroid/exceptions.py"", ""astroid/bases.py"", ""astroid/tests/unittest_nodes.py"", ""astroid/interpreter/_import/spec.py"", ""astroid/raw_building.py"", ""astroid/scoped_nodes.py"", ""astroid/node_classes.py"", ""astroid/helpers.py"", ""astroid/rebuilder.py"", ""astroid/builder.py"", ""astroid/astpeephole.py"", ""astroid/tests/unittest_transforms.py"", ""astroid/inference.py""]']",False,[],[],[],[],2017-10-12
1186,commit_messages,,pycqa,astroid,hugovk,2017-10-12 07:20:58,Update classifiers (#453),8fc39027df6b67006a5f0856e3f0869814522330,,"api.github.com,git_clone","[u'[""astroid/__pkginfo__.py""]']",False,[],"[{u'raw': u'#453', u'refstyle': u'#d', u'parts': [u'pycqa', u'astroid', u'453', u'']}]",[],[],2017-10-12
1609,commit_messages,,pycqa,astroid,PCManticore,2017-10-12 10:39:11,"lint the current directory, not the installed one",c127ef121872f92013de351d1670da64337905ea,,"api.github.com,git_clone","[u'[""tox.ini""]']",False,[],[],[],[],2017-10-12
2103,commit_messages,,pycqa,astroid,PCManticore,2017-10-12 08:15:04,"Ignore directories found in blacklist

Close PyCQA/pylint#1700",ffc680b293480ad3037f64f212d35b49456d27a2,,"api.github.com,git_clone","[u'[""astroid/modutils.py""]']",False,[],"[{u'raw': u'PyCQA/pylint#1700', u'refstyle': u'o/p#d', u'parts': [u'PyCQA', u'pylint', u'1700', u'']}]",[],[],2017-10-12
2537,pull_request_commit,453.0,pycqa,astroid,hugovk,2017-10-12 06:14:14,Update classifiers,6523045937c1e84725e6a322c7838cb91c7b35e6,,api.github.com,,False,[],[],[],[],2017-10-12
2538,pull_request_commit,455.0,pycqa,astroid,hugovk,2017-10-12 08:52:24,Mark failing test as expected failure,eef6a7628da0ccbf6f659e0156a98a86d92ed387,,api.github.com,,False,[],[],[],[],2017-10-12
