,rectype,issueid,project_owner,project_name,actor,time,text,action,title,provenance,paths,plus_1,urls,issues,userref,code,formatted_time
214,commit_messages,,pycqa,astroid,The-Compiler,2015-07-25 14:14:54,"Remove logilab-common dependency.

--HG--
branch : no-logilab-common",1d859256a5f90f4885565fab32ea86cb12fa2788,,"api.github.com,git_clone","[u'[""tox.ini"", ""astroid/__pkginfo__.py""]']",False,[],[],[],[],2015-07-25
545,commit_messages,,pycqa,astroid,The-Compiler,2015-07-25 13:35:07,"Get rid of logilab.common in unittest_modutils.py.

It was only used as an example package with subpackages - now we use
xml.etree.ElementTree for those checks instead.

--HG--
branch : no-logilab-common",44115d6fa8a7b0c09c650d1293cc19707bf3f278,,"api.github.com,git_clone","[u'[""astroid/tests/unittest_modutils.py""]']",False,[],[],[],[],2015-07-25
562,commit_messages,,pycqa,astroid,The-Compiler,2015-07-25 14:12:45,"Remove pytest recommendation from README.

--HG--
branch : no-logilab-common",461d2398abb6d0f89b30ba48e487877036e57400,,"api.github.com,git_clone","[u'[""README""]']",False,[],[],[],[],2015-07-25
572,commit_messages,,pycqa,astroid,PCManticore,2015-07-25 16:22:57,Merge,476a0c264158dbe158c9a09706060c9265365bf6,,"api.github.com,git_clone","[u'[""astroid/tests/unittest_modutils.py"", ""astroid/tests/testdata/python3/data/module.py"", ""tox.ini"", ""astroid/bases.py"", ""astroid/tests/testdata/python2/data/module.py"", ""ChangeLog"", ""astroid/modutils.py"", ""astroid/tests/unittest_nodes.py"", ""astroid/scoped_nodes.py"", ""astroid/raw_building.py"", ""astroid/objects.py"", ""astroid/mixins.py"", ""astroid/node_classes.py"", ""astroid/tests/unittest_builder.py"", ""README"", ""astroid/decorators.py"", ""astroid/__pkginfo__.py"", ""astroid/tests/unittest_scoped_nodes.py""]']",False,[],[],[],[],2015-07-25
599,commit_messages,,pycqa,astroid,PCManticore,2015-07-25 23:25:17,Remove the use of scandir. Unfortunately it's supported only by CPython.,490583096ca34577e83a0afcce4a30fe03b78f2f,,"api.github.com,git_clone","[u'[""astroid/modutils.py"", ""astroid/__pkginfo__.py""]']",False,[],[],[],[],2015-07-25
688,commit_messages,,pycqa,astroid,The-Compiler,2015-07-25 13:52:58,"Use six.moves instead of logilab.common.compat.

--HG--
branch : no-logilab-common",54d3871cf554eae94bc48f1215cea5ebd8bce8ea,,"api.github.com,git_clone","[u'[""astroid/raw_building.py""]']",False,[],[],[],[],2015-07-25
778,commit_messages,,pycqa,astroid,radowit,2015-07-25 12:16:57,Proper argument name,6099799cb3747e222dc89695b64716f55b0ea981,,"api.github.com,git_clone","[u'[""astroid/tests/unittest_modutils.py"", ""astroid/modutils.py""]']",False,[],[],[],[],2015-07-25
794,commit_messages,,pycqa,astroid,PCManticore,2015-07-25 12:59:01,Cleanup a test.,621c9b41e899685917dba978645e54be33ec7e6b,,"api.github.com,git_clone","[u'[""astroid/tests/unittest_modutils.py""]']",False,[],[],[],[],2015-07-25
814,commit_messages,,pycqa,astroid,radowit,2015-07-25 12:02:22,Add option to search for all Python files in get_module_files,645b0ce18fdb082112da1e6e6c78bf681f2c5af6,,"api.github.com,git_clone","[u'[""astroid/tests/unittest_modutils.py"", ""tox.ini"", ""astroid/modutils.py"", ""astroid/tests/testdata/python2/data/notamodule/file.py"", ""astroid/tests/testdata/python3/data/notamodule/file.py"", ""astroid/__pkginfo__.py""]']",False,[],[],[],[],2015-07-25
867,commit_messages,,pycqa,astroid,The-Compiler,2015-07-25 14:54:45,"Simplify decorators.cache.

--HG--
branch : no-logilab-common",6b88b988b2099be4bd5460cba9d8d884c6c0d8a4,,"api.github.com,git_clone","[u'[""astroid/decorators.py""]']",False,[],[],[],[],2015-07-25
1012,commit_messages,,pycqa,astroid,The-Compiler,2015-07-25 14:48:51,"Remove __docformat__.

--HG--
branch : no-logilab-common",7ca5104c2e169ddb27af3035bd7cab01ef422be2,,"api.github.com,git_clone","[u'[""astroid/decorators.py""]']",False,[],[],[],[],2015-07-25
