,rectype,issueid,project_owner,project_name,actor,time,text,action,title,provenance,paths,plus_1,urls,issues,userref,code,formatted_time
24,commit_messages,,aio-libs,aioredis,popravich,2017-01-17 10:06:59,update CONTRIBUTORS.txt,09ed3026ebcdca4759d39574b9cf3b52c8b3dd07,,"api.github.com,git_clone","[u'[""CONTRIBUTORS.txt""]']",False,[],[],[],[],2017-01-17
26,commit_messages,,aio-libs,aioredis,popravich,2017-01-17 10:26:42,add few tests for generic commands,0ab070f75b0318f002d77aadd62e61e77e2cf546,,"api.github.com,git_clone","[u'[""aioredis/commands/generic.py"", ""tests/generic_commands_test.py""]']",False,[],[],[],[],2017-01-17
70,commit_messages,,aio-libs,aioredis,popravich,2017-01-17 09:50:14,add note on Sentinel support to README,161a3ad10e1d392a6d755dea267fc12031dce11b,,"api.github.com,git_clone","[u'[""README.rst""]']",False,[],[],[],[],2017-01-17
383,commit_messages,,aio-libs,aioredis,popravich,2017-01-17 10:57:54,add __all__ to aioredis.__init__,7bf028eaafaa29f2bd9c25dd1e3f9c26ecf1b463,,"api.github.com,git_clone","[u'[""aioredis/commands/__init__.py"", ""aioredis/__init__.py""]']",False,[],[],[],[],2017-01-17
449,commit_messages,,aio-libs,aioredis,popravich,2017-01-17 09:46:17,"Merge pull request #181 from aio-libs/sentinel2

Sentinel implementation",940e54b12a6ee92bb4f70ce936b4a485ee1d22c4,,"api.github.com,git_clone","[u'[""aioredis/commands/transaction.py"", ""aioredis/commands/__init__.py"", ""aioredis/sentinel/commands.py"", ""aioredis/errors.py"", ""tests/pool_test.py"", ""Makefile"", ""tests/sentinel_failover_test.py"", ""aioredis/__init__.py"", ""aioredis/sentinel/pool.py"", ""tests/connection_commands_test.py"", ""aioredis/connection.py"", ""tests/sentinel_commands_test.py"", ""aioredis/pool.py"", ""aioredis/sentinel/__init__.py"", ""aioredis/commands/server.py"", "".travis.yml"", ""aioredis/log.py"", ""setup.py"", ""tests/conftest.py""]']",False,[],"[{u'raw': u'#181', u'refstyle': u'#d', u'parts': [u'aio-libs', u'aioredis', u'181', u'']}]",[],[],2017-01-17
737,commit_messages,,aio-libs,aioredis,popravich,2017-01-17 11:29:54,update docs: add sentinel stub,f504886930b938576779795916ce7c88b302d195,,"api.github.com,git_clone","[u'[""docs/spelling_wordlist.txt"", ""docs/sentinel.rst"", ""docs/index.rst""]']",False,[],[],[],[],2017-01-17
