,rectype,issueid,project_owner,project_name,actor,time,text,action,title,provenance,paths,plus_1,urls,issues,userref,code,formatted_time
2,commit_messages,,aio-libs,aioredis,popravich,2015-10-29 17:00:47,code samples in docs (getting started section) made runnable,01b35d19074bf8e591717e98755b137bfb0afdbf,,"api.github.com,git_clone","[u'[""examples/python_3.5_pool.py"", ""examples/pubsub2.py"", ""examples/pipeline.py"", ""examples/python_3.5_iscan.py"", ""examples/transaction2.py"", "".travis.yml"", ""docs/start.rst"", ""docs/examples.rst""]']",False,[],[],[],[],2015-10-29
64,commit_messages,,aio-libs,aioredis,popravich,2015-10-29 17:30:08,"Merge pull request #92 from aio-libs/runnable_docs

code samples in docs (getting started section) made runnable (fixes #91)",14bf7e04a7b9e93f8935aa23423a61b96a5f45fd,,"api.github.com,git_clone","[u'[""tests/pubsub_commands_test.py"", ""examples/python_3.5_pool.py"", ""examples/pubsub2.py"", ""aioredis/util.py"", ""examples/pipeline.py"", ""examples/python_3.5_iscan.py"", ""examples/transaction2.py"", "".travis.yml"", ""docs/start.rst"", ""docs/examples.rst""]']",False,[],"[{u'raw': u'#91', u'refstyle': u'#d', u'parts': [u'aio-libs', u'aioredis', u'91', u'']}, {u'raw': u'#92', u'refstyle': u'#d', u'parts': [u'aio-libs', u'aioredis', u'92', u'']}]",[],[],2015-10-29
220,commit_messages,,aio-libs,aioredis,popravich,2015-10-29 19:33:07,"Merge pull request #93 from samuelcolvin/examples-fix

cleanup 3.5 examples",4570626ce60d1410827a063a970c66e69f98ba03,,"api.github.com,git_clone","[u'[""examples/python_3.5_pool.py"", ""examples/python_3.5_iscan.py""]']",False,[],"[{u'raw': u'#93', u'refstyle': u'#d', u'parts': [u'aio-libs', u'aioredis', u'93', u'']}]",[],[],2015-10-29
252,commit_messages,,aio-libs,aioredis,popravich,2015-10-29 17:23:08,test for a bug with Channel.get,4f7de019b12ec0a886f4da393f944fe1ede12d1e,,"api.github.com,git_clone","[u'[""tests/pubsub_commands_test.py"", ""examples/pubsub2.py""]']",False,[],[],[],[],2015-10-29
303,commit_messages,,aio-libs,aioredis,popravich,2015-10-29 19:41:10,doc fixes,5ef37632f2aea9406f98d5b44817044c2c29e8eb,,"api.github.com,git_clone","[u'[""docs/start.rst""]']",False,[],[],[],[],2015-10-29
396,commit_messages,,aio-libs,aioredis,popravich,2015-10-29 17:23:49,fix for an issue with Channel.get(),80428bacec8b51cbd5201f26265f4596e1f9e408,,"api.github.com,git_clone","[u'[""aioredis/util.py""]']",False,[],[],[],[],2015-10-29
575,commit_messages,,aio-libs,aioredis,samuelcolvin,2015-10-29 17:48:21,cleanup 3.5 examples,bf6acf79aea708018783ecc26407fa8aee74eea7,,"api.github.com,git_clone","[u'[""examples/python_3.5_pool.py"", ""examples/python_3.5_iscan.py""]']",False,[],[],[],[],2015-10-29
939,pull_request_commit,92.0,aio-libs,aioredis,popravich,2015-10-29 17:00:47,code samples in docs (getting started section) made runnable,01b35d19074bf8e591717e98755b137bfb0afdbf,,api.github.com,,False,[],[],[],[],2015-10-29
940,pull_request_commit,92.0,aio-libs,aioredis,popravich,2015-10-29 17:23:08,test for a bug with Channel.get,4f7de019b12ec0a886f4da393f944fe1ede12d1e,,api.github.com,,False,[],[],[],[],2015-10-29
941,pull_request_commit,92.0,aio-libs,aioredis,popravich,2015-10-29 17:23:49,fix for an issue with Channel.get(),80428bacec8b51cbd5201f26265f4596e1f9e408,,api.github.com,,False,[],[],[],[],2015-10-29
942,pull_request_commit,93.0,aio-libs,aioredis,samuelcolvin,2015-10-29 17:48:21,cleanup 3.5 examples,bf6acf79aea708018783ecc26407fa8aee74eea7,,api.github.com,,False,[],[],[],[],2015-10-29
