,rectype,issueid,project_owner,project_name,actor,time,text,action,title,provenance,paths,plus_1,urls,issues,userref,code,formatted_time
824,commit_messages,,nilearn,nilearn,GaelVaroquaux,2014-08-24 16:49:40,MAINT: examples should not use parallel,226993906a46591d39851937bff06ce622eab11b,,"api.github.com,git_clone","[u'[""plot_haxby_searchlight.py""]']",False,[],[],[],[],2014-08-24
882,commit_messages,,nilearn,nilearn,GaelVaroquaux,2014-08-24 20:55:57,ENH: title on top,249d5d40f52c04abf31f0b9ac6a6265ada5a3bce,,"api.github.com,git_clone","[u'[""nilearn/plotting/slicers.py""]']",False,[],[],[],[],2014-08-24
1084,commit_messages,,nilearn,nilearn,GaelVaroquaux,2014-08-24 19:09:08,API: more visible colorbar option,2c9f17beac0e12daf4e2b15b9b26e9215edb1b63,,"api.github.com,git_clone","[u'[""nilearn/plotting/img_plotting.py""]']",False,[],[],[],[],2014-08-24
1398,commit_messages,,nilearn,nilearn,GaelVaroquaux,2014-08-24 21:13:22,ENH: more robust choice of cut_coords,3a7cfbdb9efed5256a7fcbaa478d56a6d7c3c151,,"api.github.com,git_clone","[u'[""nilearn/plotting/img_plotting.py""]']",False,[],[],[],[],2014-08-24
1617,commit_messages,,nilearn,nilearn,dohmatob,2014-08-27 09:52:34,REFACTOR: dealt away with abnoxious **kwargs in tv_solver(...),43e8c896a25ce4484eed7a707615ca23624c0cc3,,"api.github.com,git_clone","[u'[""nilearn/decoding/sparse_models/tests/test_operators.py""]']",False,[],[],[],[],2014-08-27
1680,commit_messages,,nilearn,nilearn,GaelVaroquaux,2014-08-24 16:34:42,"Merge branch 'master' into viz

Conflicts:
	nilearn/_utils/fast_maths.py
	nilearn/datasets.py
	nilearn/tests/test_datasets.py",465beddc6efc54894178f6fe17dd9e609a1f9b1c,,"api.github.com,git_clone","[u'[""nilearn/mass_univariate/tests/test_permuted_least_squares.py"", ""plot_localizer_simple_analysis.py"", ""nilearn/_utils/testing.py"", ""nilearn/tests/test_datasets.py"", ""nilearn/tests/test_niimg_conversions.py"", ""plot_oasis_vbm.py"", ""nilearn/_utils/fast_maths.py"", ""nilearn/_utils/niimg_conversions.py"", ""plot_localizer_mass_univariate_methods.py"", ""nilearn/mass_univariate/permuted_least_squares.py"", ""nilearn/masking.py"", ""nilearn/__init__.py"", ""plot_localizer_mass_univariate.py"", ""nilearn/input_data/tests/test_multi_nifti_masker.py"", ""setup.py"", ""nilearn/input_data/base_masker.py"", ""nilearn/tests/test_testing.py"", ""nilearn/datasets.py""]']",False,[],[],[],[],2014-08-24
1853,commit_messages,,nilearn,nilearn,GaelVaroquaux,2014-08-24 17:56:58,DOC: fix links,4de3969512a21d41d5ee8bd90df8428892f11b26,,"api.github.com,git_clone","[u'[""doc/AUTHORS.rst""]']",False,[],[],[],[],2014-08-24
2025,commit_messages,,nilearn,nilearn,GaelVaroquaux,2014-08-24 21:30:57,ENH: better colorbar and vmin/vmax behavior,54f4d38f147b75a251ea52a412c7ee8fead73ce2,,"api.github.com,git_clone","[u'[""nilearn/plotting/slicers.py""]']",False,[],[],[],[],2014-08-24
2455,commit_messages,,nilearn,nilearn,GaelVaroquaux,2014-08-24 16:42:47,"Merge pull request #221 from GaelVaroquaux/viz

Visualization code for nilearn",6624ddaf34e77eee3bd3e0204792ec00a1466662,,"api.github.com,git_clone","[u'[""doc/building_blocks/manipulating_mr_images.rst"", ""nilearn/tests/test_datasets.py"", ""doc/modules/reference.rst"", ""doc/index.rst"", ""doc/themes/nilearn/static/nature.css_t"", ""nilearn/plotting/find_cuts.py"", ""plot_nifti_simple.py"", ""plot_mask_computation.py"", ""nilearn/plotting/coord_tools.py"", ""plot_haxby_simple.py"", ""nilearn/plotting/img_plotting.py"", ""nilearn/tests/test_niimg_conversions.py"", ""nilearn/_utils/fast_maths.py"", ""plot_roi_extraction.py"", ""nilearn/plotting/test/foobar"", ""nilearn/plotting/test/test_slicers.py"", ""plot_haxby_anova_svm.py"", ""nilearn/plotting/test/test_img_plotting.py"", ""nilearn/plotting/test/test_find_cuts.py"", ""nilearn/datasets.py"", ""plot_rest_clustering.py"", ""nilearn/_utils/niimg_conversions.py"", ""doc/sphinxext/gen_rst.py"", ""plot_canica_resting_state.py"", ""plot_ica_resting_state.py"", ""nilearn/plotting/test/test_coord_tools.py"", ""setup.py"", ""plot_haxby_searchlight.py"", ""nilearn/image/resampling.py"", ""doc/building_blocks/plotting.rst"", ""nilearn/plotting/__init__.py"", ""doc/building_blocks/index.rst"", ""nilearn/plotting/cm.py"", ""plot_demo_plotting.py"", ""nilearn/plotting/slicers.py""]']",False,[],"[{u'raw': u'#221', u'refstyle': u'#d', u'parts': [u'nilearn', u'nilearn', u'221', u'']}]",[],[],2014-08-24
3722,commit_messages,,nilearn,nilearn,GaelVaroquaux,2014-08-24 16:02:27,"MISC: PEP8, docstring, and less data download

Addresses comments by @bthirion",9c9da69485beb589a5d58b3a4da556285b3055b9,,"api.github.com,git_clone","[u'[""nilearn/plotting/find_cuts.py"", ""plot_demo_plotting.py"", ""nilearn/plotting/slicers.py""]']",False,[],[],[u'@bthirion'],[],2014-08-24
3743,commit_messages,,nilearn,nilearn,GaelVaroquaux,2014-08-24 17:52:35,"DOC: fix links

make linkcheck is a blessing!",9da00fdd30a5746dc45245407ad193bd3de65dfb,,"api.github.com,git_clone","[u'[""plot_rest_clustering.py"", ""doc/data_analysis/decoding.rst"", ""doc/AUTHORS.rst"", ""doc/building_blocks/unsupervised_learning.rst"", ""doc/data_analysis/parcellating.rst"", ""nilearn/mass_univariate/permuted_least_squares.py""]']",False,[],[],[],[],2014-08-24
4213,commit_messages,,nilearn,nilearn,dohmatob,2014-08-27 09:52:34,REFACTOR: dealt away with abnoxious **kwargs in tv_solver(...),af5c1a9e9c8ca266fe5557107325e915ff800c14,,"api.github.com,git_clone","[u'[""nilearn/decoding/sparse_models/tests/test_operators.py""]']",False,[],[],[],[],2014-08-27
5533,commit_messages,,nilearn,nilearn,GaelVaroquaux,2014-08-24 17:00:46,"BUG: indexing bug

And add test",e5c747002930d793fde6b23a2d14c2462def4f52,,"api.github.com,git_clone","[u'[""nilearn/tests/test_niimg_conversions.py"", ""nilearn/_utils/niimg_conversions.py"", ""plot_demo_plotting.py""]']",False,[],[],[],[],2014-08-24
5626,commit_messages,,nilearn,nilearn,GaelVaroquaux,2014-08-24 17:56:27,"MAINT: nilearn.github.com -> nilearn.github.io

Adapt to new github policies",e99c305fb48c928dd533441a979bbcd420bd8dea,,"api.github.com,git_clone","[u'[""doc/Makefile""]']",False,[],[],[],[],2014-08-24
5661,commit_messages,,nilearn,nilearn,GaelVaroquaux,2014-08-24 15:53:18,ENH: work on n-D images,eb241a1d7d15837f3decdac36d82175480d5dab6,,"api.github.com,git_clone","[u'[""nilearn/masking.py""]']",False,[],[],[],[],2014-08-24
5751,commit_messages,,nilearn,nilearn,GaelVaroquaux,2014-08-24 17:23:44,"DOC: fix javascript carousel

Not completely fixed: the position cursor is not highlighted.",eeaf4af0844feb3c69ea4df83b7a05433cbbc3ab,,"api.github.com,git_clone","[u'[""doc/themes/nilearn/layout.html"", ""doc/themes/nilearn/full_javascript_files/jquery-1.9.1.js"", ""doc/themes/nilearn/static/jquery.jcarousel.min.js"", ""doc/themes/nilearn/full_javascript_files/doctools.js"", ""doc/themes/nilearn/full_javascript_files/jquery.jcarousel.js""]']",False,[],[],[],[],2014-08-24
5870,commit_messages,,nilearn,nilearn,GaelVaroquaux,2014-08-24 20:55:41,MISC: 12 slices by default is too much,f3b04be7a7bc9788e6bdc4b6026e85b6845caa44,,"api.github.com,git_clone","[u'[""nilearn/plotting/img_plotting.py""]']",False,[],[],[],[],2014-08-24
